family_id,wave,type,member,score
1,w1,comm,parent,5.196200704
1,w1,comm,child,5.873277661
1,w2,comm,parent,6.034739183
1,w2,comm,child,6.534739183
1,w1,satis,parent,7.727156308
1,w1,satis,child,8.404233265
1,w2,satis,parent,8.565694786
1,w2,satis,child,9.065694786
2,w1,comm,parent,5.513934936
2,w1,comm,child,4.399385848
2,w2,comm,parent,5.456660392
2,w2,comm,child,5.956660392
2,w1,satis,parent,7.140359239
2,w1,satis,child,6.025810152
2,w2,satis,parent,7.083084696
2,w2,satis,child,7.583084696
3,w1,comm,parent,6.617141361
3,w1,comm,child,6.042936326
3,w2,comm,parent,6.830038844
3,w2,comm,child,7.330038844
3,w1,satis,parent,7.080648715
3,w1,satis,child,6.50644368
3,w2,satis,parent,7.293546197
3,w2,satis,child,7.793546197
4,w1,comm,parent,5.481527293
4,w1,comm,child,3.818858236
4,w2,comm,parent,5.150192764
4,w2,comm,child,5.650192764
4,w1,satis,parent,8.003812181
4,w1,satis,child,6.341143124
4,w2,satis,parent,7.672477653
4,w2,satis,child,8.172477653
5,w1,comm,parent,4.539454459
5,w1,comm,child,4.553682515
5,w2,comm,parent,5.046568487
5,w2,comm,child,5.546568487
5,w1,satis,parent,6.653087963
5,w1,satis,child,6.667316019
5,w2,satis,parent,7.160201991
5,w2,satis,child,7.660201991
6,w1,comm,parent,3.078463295
6,w1,comm,child,2.282412265
6,w2,comm,parent,3.18043778
6,w2,comm,child,3.68043778
6,w1,satis,parent,4.953310611
6,w1,satis,child,4.157259581
6,w2,satis,parent,5.055285096
6,w2,satis,child,5.555285096
7,w1,comm,parent,5.099348954
7,w1,comm,child,6.006751884
7,w2,comm,parent,6.053050419
7,w2,comm,child,6.553050419
7,w1,satis,parent,6.74849086
7,w1,satis,child,7.65589379
7,w2,satis,parent,7.702192325
7,w2,satis,child,8.202192325
8,w1,comm,parent,4.259746722
8,w1,comm,child,5.286275005
8,w2,comm,parent,5.273010863
8,w2,comm,child,5.773010863
8,w1,satis,parent,6.217173323
8,w1,satis,child,7.243701607
8,w2,satis,parent,7.230437465
8,w2,satis,child,7.730437465
9,w1,comm,parent,3.521947065
9,w1,comm,child,1.979886149
9,w2,comm,parent,3.250916607
9,w2,comm,child,3.750916607
9,w1,satis,parent,5.617441937
9,w1,satis,child,4.075381021
9,w2,satis,parent,5.346411479
9,w2,satis,child,5.846411479
10,w1,comm,parent,4.772263989
10,w1,comm,child,4.917607258
10,w2,comm,parent,5.344935623
10,w2,comm,child,5.844935623
10,w1,satis,parent,6.224778177
10,w1,satis,child,6.370121446
10,w2,satis,parent,6.797449811
10,w2,satis,child,7.297449811
11,w1,comm,parent,6.270896589
11,w1,comm,child,5.540764386
11,w2,comm,parent,6.405830488
11,w2,comm,child,6.905830488
11,w1,satis,parent,8.440175541
11,w1,satis,child,7.710043338
11,w2,satis,parent,8.57510944
11,w2,satis,child,9.07510944
12,w1,comm,parent,5.502242938
12,w1,comm,child,5.105101455
12,w2,comm,parent,5.803672197
12,w2,comm,child,6.303672197
12,w1,satis,parent,7.116752378
12,w1,satis,child,6.719610895
12,w2,satis,parent,7.418181637
